Denominazione,Categoria,CPU Core ( #),CPU frequency (GHz),CPU Residua (GHz),RAM (GB),RAM Residua (GB),GPU  CUDA Cores,GPU Core Residua,GPU RAM,GPU RAM Residua,Nominal Bandwidth(Mbps),Real Bandwidth(Mbps),Storage capacity(GB),Storage I/O speed(MB),Availability
Desktop small,Far Edge,8,3.6,25.92,16,12.8,0,0,0,0,1000,50,1000,100,0.97
Desktop medium,Far Edge,16,3.6,51.84,32,25.6,3000,3000,8,8,1000,50,1000,100,0.97
Desktop large,Far Edge,20,3.6,64.8,64,51.2,10000,10000,12,12,1000,50,2000,100,0.97
Server small,Near Edge,16,3.6,51.84,32,25.6,3000,3000,8,8,1000,50,1000,100,0.99
Server medium,Near Edge,20,3.6,64.8,64,51.2,10000,10000,12,12,1000,50,2000,100,0.99
Server large,Near Edge,32,3,86.4,64,51.2,16000,16000,24,24,1000,50,2000,100,0.99
